earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker,pnl
2026-01-29,2.66,,,AAPL,
2025-10-30,1.77,1.85,4.52,AAPL,0.154142316647291
2025-07-31,1.43,1.57,10.12,AAPL,0.0894960420315678
2025-05-01,1.63,1.65,1.5,AAPL,0.1196962189323567
2025-01-30,2.35,2.4,2.26,AAPL,0.1026623744442331
2024-10-31,1.6,1.64,2.28,AAPL,0.1214795316938064
2024-08-01,1.34,1.4,4.36,AAPL,-0.0103592631392553
2024-05-02,1.5,1.53,2.05,AAPL,-0.2318378711865029
2024-02-01,2.1,2.18,3.66,AAPL,0.1944326927477658
2023-11-02,1.39,1.46,4.93,AAPL,0.2503557709623092
2023-08-03,1.19,1.26,5.47,AAPL,0.0148650003213262
2023-05-04,1.43,1.52,6.28,AAPL,0.0478856173319418
2023-02-02,1.95,1.88,-3.67,AAPL,0.0700259686354456
2022-10-27,1.27,1.29,1.44,AAPL,0.0214782794601881
2022-07-28,1.16,1.2,3.86,AAPL,0.1173232158301178
2022-04-28,1.43,1.52,6.48,AAPL,0.1137967019307736
2022-01-27,1.89,2.1,11.16,AAPL,0.0249657685497435
2021-10-28,1.24,1.24,0.17,AAPL,0.0864400001208177
2021-07-27,1.01,1.3,28.18,AAPL,0.1128540552177318
2021-04-28,0.99,1.4,41.59,AAPL,0.1381136157639745
2021-01-27,1.42,1.68,18.67,AAPL,0.1308091448287919
2020-10-29,0.7,0.73,4.48,AAPL,0.0716043525035265
2020-07-30,0.52,0.65,24.45,AAPL,-0.5021815793536837
2020-04-30,0.56,0.64,12.93,AAPL,-0.0034845985182472
2020-01-28,1.13,1.25,9.93,AAPL,0.2341036477119765
2026-02-25,1.52,,,NVDA,
2025-11-19,1.26,1.3,3.46,NVDA,0.0576546949573099
2025-08-27,1.01,1.05,4.1,NVDA,0.2627550899357139
2025-05-28,0.81,0.76,-5.9,NVDA,0.0976343430995958
2025-02-26,0.85,0.89,5.25,NVDA,0.1488369645528863
2024-11-20,0.75,0.81,8.52,NVDA,0.1834596793573045
2024-08-28,0.64,0.68,5.66,NVDA,0.2390529277165301
2024-05-22,0.52,0.6,14.83,NVDA,-0.0030851259766605
2024-02-21,0.46,0.52,11.4,NVDA,-0.1335852084653148
2023-11-21,0.34,0.4,18.73,NVDA,0.2676100804829227
2023-08-23,0.21,0.27,29.35,NVDA,0.3011197450858643
2023-05-24,0.09,0.11,18.8,NVDA,-1.469275957223097
2023-02-22,0.08,0.09,9.45,NVDA,-0.2834963947394209
2022-11-16,0.07,0.06,-17.32,NVDA,0.1113632597498293
2022-08-24,0.05,0.05,-1.49,NVDA,0.0933469739896316
2022-05-25,0.13,0.14,4.86,NVDA,0.2222280312438866
2022-02-16,0.12,0.13,7.97,NVDA,0.021154332083198
2021-11-17,0.09,0.1,8.01,NVDA,-0.2353791473713415
2021-08-18,0.1,0.1,2.26,NVDA,-0.0182148904197748
