date,cash,value,AVB_qty,CPT_qty,AVB,CPT
2008-01-02,10000.0,10000.0,0,0,0.0,0.0
2008-01-03,10000.0,10000.0,0,0,0.0,0.0
2008-01-04,10000.0,10000.0,0,0,0.0,0.0
2008-01-07,10000.0,10000.0,0,0,0.0,0.0
2008-01-08,10000.0,10000.0,0,0,0.0,0.0
2008-01-09,10000.0,10000.0,0,0,0.0,0.0
2008-01-10,10000.0,10000.0,0,0,0.0,0.0
2008-01-11,10000.0,10000.0,0,0,0.0,0.0
2008-01-14,10000.0,10000.0,0,0,0.0,0.0
2008-01-15,10000.0,10000.0,0,0,0.0,0.0
2008-01-16,10000.0,10000.0,0,0,0.0,0.0
2008-01-17,10000.0,10000.0,0,0,0.0,0.0
2008-01-18,10000.0,10000.0,0,0,0.0,0.0
2008-01-22,10000.0,10000.0,0,0,0.0,0.0
2008-01-23,9573.0,10183.31,114,-213,5812.63,-5202.32
2008-01-24,9573.0,10267.01,114,-213,5615.96,-4921.95
2008-01-25,9573.0,10229.39,114,-213,5595.86,-4939.47
2008-01-28,9573.0,10225.95,114,-213,5815.07,-5162.12
2008-01-29,9573.0,10279.41,114,-213,5810.81,-5104.39
2008-01-30,9573.0,10276.93,114,-213,5653.71,-4949.78
2008-01-31,9573.0,10205.74,114,-213,5710.34,-5077.6
2008-02-01,9573.0,10435.78,114,-213,6040.36,-5177.58
2008-02-04,10359.45,10359.45,0,0,0.0,0.0
2008-02-05,10359.45,10359.45,0,0,0.0,0.0
2008-02-06,10359.45,10359.45,0,0,0.0,0.0
2008-02-07,10359.45,10359.45,0,0,0.0,0.0
2008-02-08,10359.45,10359.45,0,0,0.0,0.0
2008-02-11,10359.45,10359.45,0,0,0.0,0.0
2008-02-12,10359.45,10359.45,0,0,0.0,0.0
2008-02-13,10359.45,10359.45,0,0,0.0,0.0
2008-02-14,10359.45,10359.45,0,0,0.0,0.0
2008-02-15,10359.45,10359.45,0,0,0.0,0.0
2008-02-19,10359.45,10359.45,0,0,0.0,0.0
2008-02-20,10359.45,10359.45,0,0,0.0,0.0
2008-02-21,10359.45,10359.45,0,0,0.0,0.0
2008-02-22,10359.45,10359.45,0,0,0.0,0.0
2008-02-25,10359.45,10359.45,0,0,0.0,0.0
2008-02-26,10359.45,10359.45,0,0,0.0,0.0
2008-02-27,10359.45,10359.45,0,0,0.0,0.0
2008-02-28,10359.45,10359.45,0,0,0.0,0.0
2008-02-29,10359.45,10359.45,0,0,0.0,0.0
2008-03-03,10359.45,10359.45,0,0,0.0,0.0
2008-03-04,10359.45,10359.45,0,0,0.0,0.0
2008-03-05,10359.45,10359.45,0,0,0.0,0.0
2008-03-06,10359.45,10359.45,0,0,0.0,0.0
2008-03-07,10359.45,10359.45,0,0,0.0,0.0
2008-03-10,10359.45,10359.45,0,0,0.0,0.0
